"episode","1000 hns with additional head stochastic - _step","1000 hns with additional head stochastic - reward"
"1018","1018","19.05"
"1019","1019","18.98"
"1020","1020","18.85"
"1021","1021","19.12"
"1022","1022","19.05"
"1023","1023","18.91"
"1024","1024","18.98"
"1025","1025","19.09"
"1026","1026","19.22"
"1027","1027","18.7"
"1028","1028","18.9"
"1029","1029","19.21"
"1030","1030","19.18"
"1031","1031","19.1"
"1032","1032","19.39"
"1033","1033","19.12"
"1034","1034","18.83"
"1035","1035","19.05"
"1036","1036","19.36"
"1037","1037","19.19"
"1038","1038","18.91"
"1039","1039","19.25"
"1040","1040","19.19"
"1041","1041","18.89"
"1042","1042","19.24"
"1043","1043","19.2"
"1044","1044","19.09"
"1045","1045","18.92"
"1046","1046","18.86"
"1047","1047","18.88"
"1048","1048","18.57"
"1049","1049","18.89"
"1050","1050","19.13"
"1051","1051","18.7"
"1052","1052","18.74"
"1053","1053","19.12"
"1054","1054","18.97"
"1055","1055","18.91"
"1056","1056","19.16"
"1057","1057","19.12"
"1058","1058","19.05"
"1059","1059","19.09"
"1060","1060","18.96"
"1061","1061","19.11"
"1062","1062","19.01"
"1063","1063","18.98"
"1064","1064","19.25"
"1065","1065","19.28"
"1066","1066","18.98"
"1067","1067","19.07"
"1068","1068","18.98"
"1069","1069","19.19"
"1070","1070","18.75"
"1071","1071","19.23"
"1072","1072","18.7"
"1073","1073","19.19"
"1074","1074","19.04"
"1075","1075","18.63"
"1076","1076","19.04"
"1077","1077","18.72"
"1078","1078","18.75"
"1079","1079","18.99"
"1080","1080","19.32"
"1081","1081","19.02"
"1082","1082","19.12"
"1083","1083","18.97"
"1084","1084","19.03"
"1085","1085","19.4"
"1086","1086","19.13"
"1087","1087","19.05"
"1088","1088","19.49"
"1089","1089","19.04"
"1090","1090","18.73"
"1091","1091","19.27"
"1092","1092","19.05"
"1093","1093","19.37"
"1094","1094","19.31"
"1095","1095","19.17"
"1096","1096","19.45"
"1097","1097","19.18"
"1098","1098","19.38"
"1099","1099","19.29"
"1100","1100","18.76"
"1101","1101","19.25"
"1102","1102","19.01"
"1103","1103","19.19"
"1104","1104","19.22"
"1105","1105","18.83"
"1106","1106","19.29"
"1107","1107","19.45"
"1108","1108","19.24"
"1109","1109","19.24"
"1110","1110","18.86"
"1111","1111","19.19"
"1112","1112","18.97"
"1113","1113","19.53"
"1114","1114","19.12"
"1115","1115","19.01"
"1116","1116","19"
"1117","1117","19.32"
"1118","1118","19.07"
"1119","1119","19.33"
"1120","1120","19.07"
"1121","1121","18.95"
"1122","1122","18.78"
"1123","1123","19.05"
"1124","1124","19.02"
"1125","1125","18.85"
"1126","1126","19.13"
"1127","1127","18.92"
"1128","1128","19.02"
"1129","1129","19.25"
"1130","1130","19.32"
"1131","1131","19.3"
"1132","1132","19.02"
"1133","1133","19.31"
