"episode","1000 wo map - _step","1000 wo map - self_coins1"
"666","665","1.18"
"667","666","1.08"
"668","667","1.28"
"669","668","1.25"
"670","669","1.17"
"671","670","1.35"
"672","671","1.09"
"673","672","1.37"
"674","673","1.12"
"675","674","1.15"
"676","675","1.21"
"677","676","1.46"
"678","677","1.33"
"679","678","1.21"
"680","679","1.36"
"681","680","1.29"
"682","681","1.11"
"683","682","1.23"
"684","683","1.27"
"685","684","1.33"
"686","685","1.19"
"687","686","1.18"
"688","687","1.19"
"689","688","1.21"
"690","689","1.23"
"691","690","1.24"
"692","691","1.34"
"693","692","1.22"
"694","693","1.3"
"695","694","1.26"
"696","695","1.29"
"697","696","1.28"
"698","697","1.28"
"699","698","1.22"
"700","699","1.36"
"701","700","1.33"
"702","701","1.28"
"703","702","1.2"
"704","703","1.26"
"705","704","1.21"
"706","705","1.16"
"707","706","1.41"
"708","707","1.36"
"709","708","1.22"
"710","709","1.25"
"711","710","1.16"
"712","711","1.4"
"713","712","1.22"
"714","713","1.3"
"715","714","1.15"
"716","715","1.19"
"717","716","1.24"
"718","717","1.23"
"719","718","1.11"
"720","719","1.28"
"721","720","1.25"
"722","721","1.18"
"723","722","1.06"
"724","723","1.29"
"725","724","1.33"
"726","725","1.28"
"727","726","1.21"
"728","727","1.33"
"729","728","1.25"
"730","729","1.19"
"731","730","1.35"
"732","731","1.27"
"733","732","1.37"
"734","733","1.27"
"735","734","1.14"
"736","735","1.22"
"737","736","1.27"
"738","737","1.31"
"739","738","1.2"
"740","739","1.32"
"741","740","1.13"
"742","741","1.24"
"743","742","1.17"
"744","743","1.44"
"745","744","1.42"
"746","745","1.35"
"747","746","1.25"
"748","747","1.33"
"749","748","1.2"
"750","749","1.31"
"751","750","1.38"
"752","751","1.25"
"753","752","1.39"
"754","753","1.31"
"755","754","1.15"
"756","755","1.26"
"757","756","1.06"
"758","757","1.15"
"759","758","1.13"
"760","759","1.33"
"761","760","1.2"
"762","761","1.32"
"763","762","1.12"
"764","763","1.29"
"765","764","1.2"
"766","765","1.14"
"767","766","1.32"
"768","767","1.15"
"769","768","1.36"
"770","769","1.27"
"771","770","1.48"
"772","771","1.26"
"773","772","1.32"
"774","773","1.27"
"775","774","1.28"
"776","775","1.37"
"777","776","1.31"
"778","777","1.1"
"779","778","1.18"
"780","779","1.27"
"781","780","1.37"
"782","781","1.38"
"783","782","1.37"
"784","783","1.28"
"785","784","1.23"
"786","785","1.31"
"787","786","1.29"
"788","787","1.02"
"789","788","1.36"
"790","789","1.35"
"791","790","1.32"
"792","791","1.15"
"793","792","1.39"
"794","793","1.23"
"795","794","1.2"
"796","795","1.24"
"797","796","1.4"
"798","797","1.15"
"799","798","1.36"
"800","799","1.2"
"801","800","1.19"
"802","801","1.25"
"803","802","1.27"
"804","803","1.33"
"805","804","1.2"
"806","805","1.28"
"807","806","1.18"
"808","807","1.24"
"809","808","1.41"
"810","809","1.31"
"811","810","1.3"
"812","811","1.23"
