"episode","1000 wo map - _step","1000 wo map - other_coins1"
"557","556","1.15"
"558","557","1.04"
"559","558","1.28"
"560","559","1.18"
"561","560","1.29"
"562","561","1.39"
"563","562","1.3"
"564","563","1.27"
"565","564","1.09"
"566","565","1.24"
"567","566","1.2"
"568","567","1.16"
"569","568","1.33"
"570","569","1.2"
"571","570","1.08"
"572","571","1.13"
"573","572","1.17"
"574","573","1.11"
"575","574","1.07"
"576","575","0.93"
"577","576","1.08"
"578","577","1.15"
"579","578","1.28"
"580","579","1.26"
"581","580","1.16"
"582","581","1.15"
"583","582","1.33"
"584","583","1.16"
"585","584","1.11"
"586","585","1.23"
"587","586","1.37"
"588","587","1.32"
"589","588","1.29"
"590","589","1.29"
"591","590","1.11"
"592","591","1.19"
"593","592","1.35"
"594","593","1.28"
"595","594","1.54"
"596","595","1.42"
"597","596","1.27"
"598","597","1.18"
"599","598","1.04"
"600","599","1.29"
"601","600","1.29"
"602","601","1.16"
"603","602","0.93"
"604","603","1.15"
"605","604","1.43"
"606","605","1.2"
"607","606","1.29"
"608","607","1.33"
"609","608","1.16"
"610","609","1.38"
"611","610","1.16"
"612","611","1.29"
"613","612","1.19"
"614","613","1.23"
"615","614","1.29"
"616","615","1.16"
"617","616","1.31"
"618","617","1.35"
"619","618","1.36"
"620","619","1.26"
"621","620","1.13"
"622","621","1.3"
"623","622","1.31"
"624","623","1.15"
"625","624","1.25"
"626","625","1.4"
"627","626","1.29"
"628","627","1.15"
"629","628","1.07"
"630","629","1.2"
"631","630","1.42"
"632","631","1.37"
"633","632","1.36"
"634","633","1.03"
"635","634","1.38"
"636","635","1.22"
"637","636","1.19"
"638","637","1.19"
"639","638","1.29"
"640","639","1.14"
"641","640","1.19"
"642","641","1.43"
"643","642","1.22"
"644","643","1.08"
"645","644","1.39"
"646","645","1.08"
"647","646","1.07"
"648","647","1.2"
"649","648","1.2"
"650","649","1.3"
"651","650","1.33"
"652","651","1.22"
"653","652","1.18"
"654","653","1.49"
"655","654","1.2"
"656","655","1.29"
"657","656","1.21"
"658","657","1.13"
"659","658","1.26"
"660","659","1.25"
"661","660","1.13"
"662","661","1"
"663","662","1.41"
"664","663","1.19"
"665","664","1.22"
"666","665","1.25"
"667","666","1.32"
"668","667","1.24"
"669","668","1.25"
"670","669","1.16"
"671","670","1.3"
"672","671","1.23"
"673","672","1.13"
"674","673","1.21"
"675","674","1.31"
"676","675","1.26"
"677","676","1.11"
"678","677","1.2"
"679","678","1.16"
"680","679","1.29"
"681","680","1.24"
"682","681","1.21"
"683","682","1.25"
"684","683","1.44"
"685","684","1.23"
"686","685","1.13"
"687","686","1.21"
"688","687","1.27"
"689","688","1.26"
"690","689","1.27"
"691","690","1.19"
"692","691","1.38"
"693","692","1.17"
"694","693","1.23"
"695","694","1.27"
"696","695","1.24"
"697","696","1.13"
"698","697","1.42"
"699","698","1.19"
"700","699","1.38"
"701","700","1.2"
"702","701","1.29"
"703","702","1.34"
"704","703","1.33"
"705","704","1.25"
"706","705","1.21"
"707","706","1.14"
"708","707","1.21"
"709","708","1.37"
"710","709","1.42"
"711","710","1.16"
"712","711","1.18"
"713","712","1.23"
"714","713","1.29"
"715","714","1.24"
"716","715","1.39"
"717","716","1.2"
"718","717","1.31"
"719","718","1.2"
"720","719","1.33"
"721","720","1.1"
"722","721","1.28"
"723","722","1.4"
"724","723","1.39"
"725","724","1.55"
"726","725","1.27"
"727","726","1.26"
"728","727","1.18"
"729","728","1.06"
"730","729","1.21"
"731","730","1.26"
"732","731","1.23"
"733","732","1.17"
"734","733","1.28"
"735","734","1.12"
"736","735","1.47"
"737","736","1.19"
"738","737","1.28"
"739","738","1.32"
"740","739","1.39"
"741","740","1.54"
"742","741","1.45"
"743","742","1.38"
"744","743","1.24"
"745","744","1.17"
"746","745","1.27"
"747","746","1.19"
"748","747","1.34"
"749","748","1.38"
"750","749","1.25"
"751","750","1.35"
"752","751","1.31"
"753","752","1.24"
"754","753","1.27"
"755","754","1.27"
"756","755","1.37"
"757","756","1.32"
"758","757","1.24"
"759","758","1.24"
"760","759","1.24"
"761","760","1.35"
"762","761","1.41"
"763","762","1.35"
"764","763","1.17"
"765","764","1.26"
"766","765","1.21"
"767","766","1.3"
"768","767","1.34"
"769","768","1.28"
"770","769","1.29"
"771","770","1.38"
"772","771","1.25"
"773","772","1.39"
"774","773","1.21"
"775","774","1.26"
"776","775","1.28"
"777","776","1.35"
"778","777","1.43"
"779","778","1.28"
"780","779","1.28"
"781","780","1.1"
"782","781","1.31"
"783","782","1.25"
"784","783","1.31"
"785","784","1.27"
"786","785","1.16"
"787","786","1.34"
"788","787","1.33"
"789","788","1.36"
"790","789","1.31"
"791","790","1.15"
"792","791","1.21"
"793","792","1.36"
"794","793","1.16"
"795","794","1.51"
"796","795","1.2"
"797","796","1.25"
"798","797","1.26"
"799","798","1.13"
"800","799","1.33"
"801","800","1.27"
"802","801","1.33"
"803","802","1.34"
"804","803","1.25"
