"episode","1000 wo map - _step","1000 wo map - neither_coins1"
"559","558","1.4"
"560","559","1.34"
"561","560","1.49"
"562","561","1.27"
"563","562","1.3"
"564","563","1.17"
"565","564","1.2"
"566","565","1.13"
"567","566","1.16"
"568","567","1.11"
"569","568","1.23"
"570","569","1.21"
"571","570","1.3"
"572","571","1.1"
"573","572","0.98"
"574","573","1.17"
"575","574","1.06"
"576","575","1.34"
"577","576","1.16"
"578","577","1.21"
"579","578","1.31"
"580","579","1.29"
"581","580","1.25"
"582","581","1.01"
"583","582","1.12"
"584","583","1.18"
"585","584","1.08"
"586","585","1.53"
"587","586","1.27"
"588","587","1.15"
"589","588","1.15"
"590","589","1.25"
"591","590","1.24"
"592","591","1.28"
"593","592","1.24"
"594","593","1.25"
"595","594","1.12"
"596","595","1.16"
"597","596","1.28"
"598","597","1.34"
"599","598","1.21"
"600","599","1.22"
"601","600","1.36"
"602","601","1.27"
"603","602","1.17"
"604","603","1.18"
"605","604","1.24"
"606","605","1.22"
"607","606","1.13"
"608","607","1.19"
"609","608","1.09"
"610","609","1.11"
"611","610","1.26"
"612","611","1.36"
"613","612","1.31"
"614","613","1.15"
"615","614","1.51"
"616","615","1.23"
"617","616","1.19"
"618","617","1.25"
"619","618","1.19"
"620","619","1.27"
"621","620","1.33"
"622","621","1.3"
"623","622","1.22"
"624","623","1.26"
"625","624","1.16"
"626","625","1.27"
"627","626","1.28"
"628","627","1.23"
"629","628","1.21"
"630","629","1.13"
"631","630","1.18"
"632","631","1.25"
"633","632","1.28"
"634","633","1.21"
"635","634","1.28"
"636","635","1.23"
"637","636","1.27"
"638","637","1.19"
"639","638","1.12"
"640","639","1.33"
"641","640","1.14"
"642","641","1.27"
"643","642","1.21"
"644","643","1.11"
"645","644","1.14"
"646","645","1.33"
"647","646","1.23"
"648","647","1.23"
"649","648","1.16"
"650","649","1.37"
"651","650","1.28"
"652","651","1.06"
"653","652","1.23"
"654","653","1.19"
"655","654","1.28"
"656","655","1.35"
"657","656","1.24"
"658","657","1.22"
"659","658","1.15"
"660","659","1.25"
"661","660","1.11"
"662","661","1.35"
"663","662","1.39"
"664","663","1.45"
"665","664","1.3"
"666","665","1.16"
"667","666","1.31"
"668","667","1.22"
"669","668","1.2"
"670","669","1.31"
"671","670","1.33"
"672","671","1.19"
"673","672","1.3"
"674","673","1.29"
"675","674","1.18"
"676","675","1.22"
"677","676","1.15"
"678","677","1.1"
"679","678","1.24"
"680","679","1.11"
"681","680","1.31"
"682","681","1.15"
"683","682","1.11"
"684","683","1.31"
"685","684","1.28"
"686","685","1.36"
"687","686","1.15"
"688","687","1.2"
"689","688","1.07"
"690","689","1.31"
"691","690","1.1"
"692","691","1.12"
"693","692","1.24"
"694","693","1.18"
"695","694","1.21"
"696","695","1.09"
"697","696","1.14"
"698","697","1.4"
"699","698","1.3"
"700","699","1.52"
"701","700","1.16"
"702","701","1.14"
"703","702","1.26"
"704","703","1.23"
"705","704","1.32"
"706","705","1.34"
"707","706","1.19"
"708","707","1.26"
"709","708","1.24"
"710","709","1.19"
"711","710","1.21"
"712","711","1.27"
"713","712","1.19"
"714","713","1.19"
"715","714","1.32"
"716","715","1.29"
"717","716","1.44"
"718","717","1.3"
"719","718","1.18"
"720","719","1.38"
"721","720","1.2"
"722","721","1.14"
"723","722","1.25"
"724","723","1.29"
"725","724","1.44"
"726","725","1.13"
"727","726","1.41"
"728","727","1.22"
"729","728","1.07"
"730","729","1.12"
"731","730","1.31"
"732","731","1.26"
"733","732","1.37"
"734","733","1.21"
"735","734","1.18"
"736","735","1.48"
"737","736","1.23"
"738","737","1.09"
"739","738","1.32"
"740","739","1.32"
"741","740","1.2"
"742","741","1.3"
"743","742","1.4"
"744","743","1.24"
"745","744","1.23"
"746","745","1.27"
"747","746","1.32"
"748","747","1.24"
"749","748","1.16"
"750","749","1.1"
"751","750","1.1"
"752","751","1.26"
"753","752","1.26"
"754","753","1.18"
"755","754","1.27"
"756","755","1.29"
"757","756","1.08"
"758","757","1.36"
"759","758","1.37"
"760","759","1.39"
"761","760","1.31"
"762","761","1.37"
"763","762","1.28"
"764","763","1.22"
"765","764","1.48"
"766","765","1.3"
"767","766","1.3"
"768","767","1.47"
"769","768","1.17"
"770","769","1.19"
"771","770","1.36"
"772","771","1.22"
"773","772","1.3"
"774","773","1.36"
"775","774","1.37"
"776","775","1.35"
"777","776","1.39"
"778","777","1.24"
"779","778","1.33"
"780","779","1.33"
"781","780","1.37"
"782","781","1.32"
"783","782","1.24"
"784","783","1.25"
"785","784","1.19"
"786","785","1.34"
"787","786","1.48"
"788","787","1.3"
"789","788","1.33"
"790","789","1.33"
"791","790","0.92"
"792","791","1.14"
"793","792","1.18"
"794","793","1.4"
"795","794","1.23"
"796","795","1.16"
"797","796","1.25"
"798","797","1.13"
"799","798","1.27"
"800","799","1.42"
"801","800","1.36"
"802","801","1.28"
"803","802","1.41"
"804","803","1.12"
"805","804","1.43"
"806","805","1.28"
"807","806","1.09"
"808","807","1.11"
"809","808","1.2"
"810","809","1.23"
"811","810","1.27"
"812","811","1.23"
"813","812","1.32"
"814","813","1.39"
"815","814","1.21"
"816","815","1.23"
"817","816","1.34"
"818","817","1.36"
"819","818","1.26"
"820","819","1.25"
"821","820","1.29"
"822","821","1.37"
"823","822","1.41"
"824","823","1.29"
"825","824","1.33"
"826","825","1.43"
"827","826","1.22"
"828","827","1.23"
"829","828","1.44"
"830","829","1.36"
"831","830","1.36"
"832","831","1.41"
"833","832","1.35"
"834","833","1.35"
"835","834","1.19"
"836","835","1.45"
"837","836","1.25"
"838","837","1.56"
"839","838","1.49"
"840","839","1.28"
"841","840","1.3"
"842","841","1.21"
"843","842","1.31"
"844","843","1.46"
"845","844","1.24"
"846","845","1.23"
"847","846","1.22"
"848","847","1.48"
"849","848","1.3"
"850","849","1.36"
"851","850","1.18"
